dc,hf_month,hf_week,delivery_date,source,destination,sku,sku_category,randomized_delivery_quantity
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-12999,C_06,101
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-64732,C_05,484
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-81212,C_04,41
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-15948,C_05,55
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-27457,C_08,139
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-94694,C_04,3
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-11331,C_05,42
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-60134,C_05,24
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-44794,C_08,132
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-40364,C_05,61
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-67027,C_08,8
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-74881,C_06,10
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-83548,C_08,5
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-95119,C_04,9
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-96827,C_06,16
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-32443,C_05,5
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-62985,C_08,6
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-44769,C_05,101
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-93779,C_08,19
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-28648,C_08,42
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-61472,C_05,39
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-72466,C_05,8
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-96827,C_06,8
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-61451,C_08,125
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-92940,C_05,53
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-79352,C_05,59
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-90508,C_05,18
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-14226,C_04,192
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-67554,C_05,1051
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-70225,C_05,30
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-17050,C_05,22
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-72272,C_05,65
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-71613,C_04,12
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-90016,C_06,26
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-79190,C_05,50
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-11689,C_04,30
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-70439,C_05,68
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-73165,C_05,10
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-60402,C_08,11
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-37458,C_05,557
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-36252,C_05,354
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-36252,C_05,486
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-81014,C_06,333
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-68414,C_08,14
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-52857,C_04,17
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-67445,C_05,26
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-26660,C_05,42
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-74774,C_08,58
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-96768,C_03,238
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-45838,C_05,1208
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-60134,C_05,661
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-74177,C_05,250
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-35680,C_05,5
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-40891,C_08,180
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-83997,C_08,236
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-80422,C_04,2
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-51102,C_04,14
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-61365,C_04,79
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-93779,C_08,7
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-30748,C_08,147
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-21541,C_01,2
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-20407,C_05,10
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-39708,C_06,8
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-71934,C_05,1470
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-25977,C_05,726
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-95347,C_05,78
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-38523,C_06,40
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-11073,C_05,70
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-11919,C_08,20
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-92940,C_05,90
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-84824,C_05,77
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-15604,C_06,112
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-29227,C_08,25
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-38044,C_05,18
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-37900,C_05,5
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-95347,C_05,96
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-27295,C_01,24
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-54292,C_05,3347
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-36671,C_04,10
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-28247,C_08,101
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-52540,C_04,534
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-57738,C_04,4
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-72438,C_08,77
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-44545,C_08,126
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-11331,C_05,116
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-94174,C_05,12
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-96704,C_06,78
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-49770,C_04,50
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-51811,C_06,12
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-61046,C_05,40
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-98349,C_08,70
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-92940,C_05,25
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-58361,C_08,847
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-13373,C_05,78
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-84854,C_05,13
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-55494,C_06,42
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-32181,C_08,11
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-36820,C_04,25
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-39965,C_08,360
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-91615,C_05,5
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-70439,C_05,170
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-64732,C_05,36
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-67445,C_05,42
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-33748,C_05,17
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-64732,C_05,36
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-35173,C_06,11
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-87871,C_05,5
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-13951,C_04,44
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-58523,C_06,100
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-72365,C_05,227
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-90173,C_05,776
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-16422,C_08,198
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-35194,C_05,23
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-32641,C_06,301
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-18080,C_05,6
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-42490,C_05,95
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-67072,C_06,17
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-14857,C_04,36
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-82385,C_08,48
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-15604,C_06,162
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-46130,C_08,34
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-64732,C_05,66
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-61777,C_06,5
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-86740,C_05,269
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-54779,C_05,42
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-83153,C_06,11
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-88857,C_08,18
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-32443,C_05,46
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-90173,C_05,235
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-75923,C_08,97
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-17772,C_06,7
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-82090,C_05,14
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-82701,C_01,8
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-89751,C_08,138
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-60848,C_08,107
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-70225,C_05,210
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-61191,C_05,233
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-39646,C_06,10
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-57213,C_06,595
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-90016,C_06,13
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-15604,C_06,12
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-75456,C_06,2
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-43665,C_08,24
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-11141,C_08,79
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-89751,C_08,90
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-30275,C_06,11
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-83548,C_08,22
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-26039,C_08,157
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-82090,C_05,331
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-38523,C_06,182
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-77990,C_05,724
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-16820,C_08,58
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-38695,C_01,42
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-50693,C_08,7
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-43974,C_08,18
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-89391,C_04,18
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-84824,C_05,34
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-77990,C_05,106
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-48204,C_06,119
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-21488,C_08,38
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-40891,C_08,58
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-16556,C_06,51
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-88356,C_05,352
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-33748,C_05,24
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-72438,C_08,140
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-73535,C_06,670
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-89636,C_03,38
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-96704,C_06,72
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-13438,C_06,197
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-13373,C_05,6
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-60589,C_06,148
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-25308,C_08,29
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-44541,C_01,4
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-91245,C_08,32
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-50557,C_05,35
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-52168,C_06,28
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-71934,C_05,1473
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-18919,C_06,24
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-53187,C_06,343
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-63696,C_08,82
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-44545,C_08,4
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-84824,C_05,14
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-41649,C_05,19
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-92203,C_05,108
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-99269,C_08,2
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-92488,C_08,29
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-19891,C_06,100
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-41369,C_08,47
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-53187,C_06,140
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-78026,C_05,151
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-50557,C_05,14
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-89730,C_08,54
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-25010,C_05,769
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-66351,C_08,84
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-87920,C_05,54
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-18392,C_04,2
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-63696,C_08,34
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-96643,C_06,6
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-79780,C_08,37
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-62985,C_08,14
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-54779,C_05,101
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-55494,C_06,280
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-70439,C_05,160
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-70225,C_05,56
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-66444,C_08,49
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-74177,C_05,48
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-93718,C_05,20
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-59386,C_06,176
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-15948,C_05,126
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-39015,C_05,16
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-91373,C_06,18
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-72466,C_05,37
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-35198,C_05,230
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-66149,C_06,433
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-58361,C_08,803
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-15176,C_05,91
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-58523,C_06,171
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-20090,C_08,12
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-72272,C_05,277
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-21882,C_05,78
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-45430,C_06,8
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-66986,C_06,44
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-94861,C_08,5
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-30445,C_05,68
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-89150,C_08,249
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-37900,C_05,937
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-81367,C_08,248
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-94915,C_08,245
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-60589,C_06,602
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-37458,C_05,497
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-45838,C_05,1210
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-77491,C_04,12
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-55650,C_08,142
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-59031,C_05,11
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-58861,C_04,10
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-66351,C_08,2
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-83997,C_08,453
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-74881,C_06,74
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-11598,C_06,2
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-38523,C_06,268
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-15604,C_06,706
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-66149,C_06,149
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-44794,C_08,71
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-61365,C_04,28
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-13438,C_06,180
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-43665,C_08,67
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-10942,C_06,72
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-96768,C_03,306
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-37458,C_05,376
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-33733,C_05,42
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-90301,C_05,22
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-52857,C_04,8
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-66351,C_08,11
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-13373,C_05,26
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-58523,C_06,82
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-19635,C_08,4
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-35680,C_05,34
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-52540,C_04,28
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-27457,C_08,78
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-41243,C_05,164
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-81367,C_08,70
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-50557,C_05,14
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-73514,C_08,80
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-45838,C_05,1313
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-35680,C_05,5
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-15786,C_06,100
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-25977,C_05,494
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-18919,C_06,9
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-87920,C_05,39
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-86740,C_05,364
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-20407,C_05,64
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-84824,C_05,102
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-18919,C_06,149
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-67445,C_05,180
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-45430,C_06,58
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-89339,C_04,17
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-52987,C_05,4
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-25010,C_05,529
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-82701,C_01,12
